state,year,quarter,transaction_type,count,amount,avg_transaction_value,year_quarter,transaction_category
Uttar Pradesh,2021,1,Financial Services,250656,266104783.7449573,1061.6334089148368,2021-Q1,financial services
Uttar Pradesh,2021,1,Others,853707,486435811.3771204,569.7924596812728,2021-Q1,others
Uttar Pradesh,2021,4,Merchant payments,183966052,142889329646.05463,776.715747784024,2021-Q4,merchant payments
Uttar Pradesh,2021,4,Peer-to-peer payments,167503176,600973581946.6772,3587.8339521554935,2021-Q4,peer-to-peer payments
Uttar Pradesh,2021,4,Recharge & bill payments,52863531,28812549097.65689,545.036408893248,2021-Q4,recharge & bill payments
Uttar Pradesh,2021,4,Financial Services,353219,386356976.48969895,1093.8170837064229,2021-Q4,financial services
Uttar Pradesh,2021,4,Others,1471954,829152405.3448995,563.3004872060537,2021-Q4,others
Uttar Pradesh,2021,2,Peer-to-peer payments,102927942,388761820128.4563,3777.028983329486,2021-Q2,peer-to-peer payments
Uttar Pradesh,2021,2,Merchant payments,84860582,70351401159.78787,829.0233168538471,2021-Q2,merchant payments
Uttar Pradesh,2021,2,Recharge & bill payments,53030710,22266927128.75408,419.8874035206031,2021-Q2,recharge & bill payments
Uttar Pradesh,2021,2,Financial Services,270944,266853066.82962543,984.901185594165,2021-Q2,financial services
Uttar Pradesh,2021,2,Others,858953,525487682.5584012,611.7769919406547,2021-Q2,others
Uttar Pradesh,2021,3,Peer-to-peer payments,127945827,440726915882.17084,3444.6368921603894,2021-Q3,peer-to-peer payments
Uttar Pradesh,2021,3,Merchant payments,126699830,91089049637.02377,718.9358473253183,2021-Q3,merchant payments
Uttar Pradesh,2021,3,Recharge & bill payments,50414232,24348150109.635994,482.96183723746884,2021-Q3,recharge & bill payments
Uttar Pradesh,2021,3,Financial Services,253418,292009129.0296748,1152.2825096468082,2021-Q3,financial services
Uttar Pradesh,2021,3,Others,1230077,624716522.0745409,507.8678180915023,2021-Q3,others
Telangana,2024,1,Merchant payments,1341371332,554207756092.0,413.1650519663857,2024-Q1,merchant payments
